sponsor_ref,global_id
1509186,03332295
1509191,03332296
1509196,03332297
1509200,03332298
1509206,03332299
1509210,03332300
1509218,03332302
1509233,03332305
1509237,03332306
1509241,03332307
1509250,03332309
1509263,03332312
1509267,03332313
1509275,03332315
1509290,03332318
1509301,03332320
1509305,03332321
1509313,03332323
1509317,03332324
1509327,03332326
1509341,03332329
1509345,03332330
1509349,03332331
1509353,03332332
1509358,03332333
1509362,03332334
1509367,03332335
1509375,03332337
1509383,03332338
1509387,03332339
1509399,03332341
1509408,03332343
1509412,03332344
1509417,03332345
1509427,03332346
1509439,03332349
1509454,03332352
1509466,03332354
1509476,03332355
1509503,03332358
1509507,03332359
1509511,03332360
1509511,03332360
1509523,03332363
1509533,03332364
1509538,03332365
1509550,03332367
1509568,03332370
1509568,03332370
1509573,03332371
1509584,03332372
1509588,03332373
1509592,03332374
1509615,03332377
1509615,03332377
1509619,03332378
1509623,03337579
1509633,03337580
1509637,03337581
1509646,03337582
1509650,03337583
1509663,03337586
1509668,03337587
1509672,03337588
1509680,03337589
1509685,03337590
1509706,03337593
1509713,03337594
1509731,03337597
1509737,03337598
1509743,03337599
1509748,03337600
1509757,03337602
1509764,03337603
1509764,03337603
1509764,03337603
1509772,03337605
1509789,03337608
1509793,03337609
1509797,03337610
1509801,03337611
1509805,03337612
1509809,03337613
1509813,03337614
1509817,03337615
1509822,03337616
1509827,03337617
1509827,03337617
1509831,03337618
1509847,03337621
